Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/27/2025,"ORIG CO NAME:AEGON USA              ORIG ID:1420947998 DESC DATE:SEP 05 CO ENTRY DESCR:CONTRIBUTESEC:CCD    TRACE#:091000011462734 EED:250127   IND ID:20250123922P5X               IND NAME:935014    00000            20250123922P5X4696945654377560028CO RP TRN: 0271462734TC",-1229.12,ACH_DEBIT,41929.24,,
CREDIT,01/27/2025,"ORIG CO NAME:COMM OF MASS           ORIG ID:A046002284 DESC DATE:250124 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:022000048323028 EED:250127   IND ID:VC0001203281                 IND NAME:BOODAH INC                 TRN*1*0000024I5010355*1046002284*10 6143684\                                      TREVENDOR TRN: 0278323028TC",16.64,ACH_CREDIT,43158.36,,
CREDIT,01/27/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250125 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001036313131 EED:250127   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0276313131TC",75.00,ACH_CREDIT,43141.72,,
CREDIT,01/27/2025,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384876946239 EED:250127   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*25022B1000015218*1411289245*0 00087726\ TRN: 0276946239TC",1185.28,ACH_CREDIT,43066.72,,
CREDIT,01/27/2025,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384876946063 EED:250127   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*25022B1000015220*1411289245*0 00087726\ TRN: 0276946063TC",1185.28,ACH_CREDIT,41881.44,,
CREDIT,01/27/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014436856 EED:250127   IND ID:ST-M2L5O1V6F2Z7              IND NAME:BOODAH INC TRN: 0274436856TC",1731.69,ACH_CREDIT,40696.16,,
CREDIT,01/27/2025,"ORIG CO NAME:Carelon Behav Z        ORIG ID:2043324848 DESC DATE:250124 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500121365571 EED:250127   IND ID:                             IND NAME:BOODAH INC                 TRN*1*8082536*1043324848\ TRN: 0271365571TC",1976.48,ACH_CREDIT,38964.47,,
DEBIT,01/24/2025,"Online Payment 23157567444 To Bus Rev Crdt 4002 01/24",-5625.00,LOAN_PMT,36987.99,,
DEBIT,01/24/2025,"Online Payment 22488616289 To LINCOLN NATIONAL LIFE INS CO 01/24",-89.74,BILLPAY,42612.99,,
DEBIT,01/24/2025,"Online Payment 23145010308 To Pacific Realty Trust 01/24",-978.00,BILLPAY,42702.73,,
CREDIT,01/24/2025,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:250121 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000019198400 EED:250124   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896253261*1351840597~                                                       MEDICARE B OF NE TRN: 0249198400TC",91.45,ACH_CREDIT,43680.73,,
CREDIT,01/24/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250123 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001034928228 EED:250124   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0244928228TC",201.96,ACH_CREDIT,43589.28,,
CREDIT,01/24/2025,"ORIG CO NAME:TUFTS ASSOCIATED       ORIG ID:4800721489 DESC DATE:250122 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000029017294 EED:250124   IND ID:                             IND NAME:BOODAH INC                 TRN*1*71175626*1042674079\ TRN: 0249017294TC",1077.49,ACH_CREDIT,43387.32,,
CREDIT,01/24/2025,"ORIG CO NAME:HPHC EFT CLEARI        ORIG ID:8042452600 DESC DATE:250122 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000017251309 EED:250124   IND ID:                             IND NAME:BOODAH INC                 TRN*1*502408437*1042452600*HPHC\ TRN: 0247251309TC",5399.13,ACH_CREDIT,42309.83,,
DEBIT,01/23/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250122 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001031823439 EED:250123   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0231823439TC",-6.16,ACH_DEBIT,36910.70,,
DEBIT,01/23/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250122 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000019827476 EED:250123   IND ID:MCDONALDS 27923              IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0239827476TC",-6.76,MISC_DEBIT,36916.86,,
DEBIT,01/23/2025,"ORIG CO NAME:ADVS ED SERV PPD       ORIG ID:9102001101 DESC DATE:250122 CO ENTRY DESCR:STUDNTLOANSEC:PPD    TRACE#:041036049664640 EED:250123   IND ID:                             IND NAME:COLLEEN F GALLICCHIO TRN: 0239664640TC",-483.42,ACH_DEBIT,36923.62,,
CREDIT,01/23/2025,"ORIG CO NAME:AETNA AS01             ORIG ID:1066033492 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000012015793 EED:250123   IND ID:1104390525                   IND NAME:BOODAH INC                 TRN*1*825020000224453*1066033492\ TRN: 0232015793TC",104.08,ACH_CREDIT,37407.04,,
CREDIT,01/23/2025,"ORIG CO NAME:HUMANA GOVT BUSI       ORIG ID:2610647538 DESC DATE:012125 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000020995209 EED:250123   IND ID:2238909331                   IND NAME:BOODAH INC                 TRN*1*2238909331*1611241225*WPSEAST   \ TRN: 0230995209TC",138.89,ACH_CREDIT,37302.96,,
CREDIT,01/23/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250122 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001030083237 EED:250123   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0230083237TC",143.48,ACH_CREDIT,37164.07,,
CREDIT,01/23/2025,"ORIG CO NAME:AETNA A04              ORIG ID:1066033492 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:031100202094917 EED:250123   IND ID:1104390525                   IND NAME:BOODAH INC                 TRN*1*825020000224452*1066033492\ TRN: 0232094917TC",167.17,ACH_CREDIT,37020.59,,
CREDIT,01/23/2025,"ORIG CO NAME:BCBS OF MASS           ORIG ID:1041045815 DESC DATE:011725 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:091000011077052 EED:250123   IND ID:741446090                    IND NAME:70020000LMG471             TRN*1*741446090*1041045815\ TRN: 0231077052TC",854.12,ACH_CREDIT,36853.42,,
CREDIT,01/23/2025,"ORIG CO NAME:UnitedHealthcare       ORIG ID:1111187726 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384871368474 EED:250123   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*S4606961*1411289245*000087726 \ TRN: 0231368474TC",906.81,ACH_CREDIT,35999.30,,
CREDIT,01/23/2025,"ORIG CO NAME:UnitedHealthcare       ORIG ID:1713627395 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384871438438 EED:250123   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*35553838*1411289245*000087726 \ TRN: 0231438438TC",1178.99,ACH_CREDIT,35092.49,,
CREDIT,01/23/2025,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384871366739 EED:250123   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*25018B1000013708*1411289245*0 00087726\ TRN: 0231366739TC",1406.44,ACH_CREDIT,33913.50,,
CREDIT,01/23/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000019699286 EED:250123   IND ID:ST-N9B2X2K2H2H9              IND NAME:BOODAH INC TRN: 0239699286TC",2157.91,ACH_CREDIT,32507.06,,
DEBIT,01/22/2025,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,30349.15,,
DEBIT,01/22/2025,"ORIG CO NAME:CAPITAL ONE            ORIG ID:9279744391 DESC DATE:250122 CO ENTRY DESCR:ONLINE PMTSEC:CCD    TRACE#:021000021161022 EED:250122   IND ID:42OQKFLQAN3OK5C              IND NAME:COLLEEN GALLICCHIO TRN: 0221161022TC",-10000.00,ACH_DEBIT,30364.15,,
DEBIT,01/22/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250121 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001033491287 EED:250122   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0223491287TC",-4.76,ACH_DEBIT,40364.15,,
DEBIT,01/22/2025,"ORIG CO NAME:INTUIT 56813462        ORIG ID:4462800242 DESC DATE:250122 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000023398206 EED:250122   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0223398206TC",-86.76,ACH_DEBIT,40368.91,,
DEBIT,01/22/2025,"ORIG CO NAME:INTUIT 50076037        ORIG ID:4462800242 DESC DATE:250122 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000027744723 EED:250122   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0227744723TC",-295.78,ACH_DEBIT,40455.67,,
DEBIT,01/22/2025,"ORIG CO NAME:INTUIT 50076037        ORIG ID:4462800242 DESC DATE:250122 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000027744722 EED:250122   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0227744722TC",-295.79,ACH_DEBIT,40751.45,,
CREDIT,01/22/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250121 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001038753444 EED:250122   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0228753444TC",30.00,ACH_CREDIT,41047.24,,
CREDIT,01/22/2025,"ORIG CO NAME:Carelon Behav Z        ORIG ID:3043324848 DESC DATE:250117 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500126560657 EED:250122   IND ID:                             IND NAME:BOODAH INC                 TRN*1*8075119*1043324848\ TRN: 0226560657TC",125.69,ACH_CREDIT,41017.24,,
CREDIT,01/22/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017970871 EED:250122   IND ID:ST-G8B3W3J7J5F6              IND NAME:BOODAH INC TRN: 0227970871TC",174.48,ACH_CREDIT,40891.55,,
CREDIT,01/22/2025,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:250116 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000016563035 EED:250122   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896245760*1351840597~                                                       MEDICARE B OF NE TRN: 0226563035TC",320.95,ACH_CREDIT,40717.07,,
CREDIT,01/22/2025,"ORIG CO NAME:Carelon Behav Z        ORIG ID:3043324848 DESC DATE:250117 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500126560655 EED:250122   IND ID:                             IND NAME:BOODAH INC                 TRN*1*8075380*1043324848\ TRN: 0226560655TC",378.91,ACH_CREDIT,40396.12,,
CREDIT,01/22/2025,"FEDWIRE CREDIT VIA: SANTANDER BANK, N.A./231372691 B/O: BOODAH, INC. US REF: CHASE NYC/CTR/BNF=BOODAH, INC. KINGSTON MA 02364-1275 US/AC-0000000095 75 RFB=O/B SANTANDER BK OBI=PAYROLL BBI=/CHGS/USD0,/ IMAD: 0122MMQFMPYC000226 TRN: 0384021022FF",42000.00,WIRE_INCOMING,40017.21,,
DEBIT,01/21/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250120 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001039357809 EED:250121   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0219357809TC",-1.17,ACH_DEBIT,-1982.79,,
DEBIT,01/21/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250117 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001039357804 EED:250121   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0219357804TC",-4.74,ACH_DEBIT,-1981.62,,
CHECK,01/21/2025,"CHECK 233  ",-110.00,CHECK_PAID,-1976.88,233,
CHECK,01/21/2025,"CHECK 238  ",-110.00,CHECK_PAID,-1866.88,238,
DEBIT,01/21/2025,"ORIG CO NAME:INTUIT 44206157        ORIG ID:4462800242 DESC DATE:250121 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000021680339 EED:250121   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0211680339TC",-7763.46,ACH_DEBIT,-1756.88,,
DEBIT,01/21/2025,"ORIG CO NAME:INTUIT 49898177        ORIG ID:4462800242 DESC DATE:250121 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000028243012 EED:250121   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0218243012TC",-263.20,ACH_DEBIT,6006.58,,
DEBIT,01/21/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250121 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000028243410 EED:250121   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0218243410TC",-1440.50,ACH_DEBIT,6269.78,,
CREDIT,01/21/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250117 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001038459594 EED:250121   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0218459594TC",65.00,ACH_CREDIT,7710.28,,
CREDIT,01/21/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250118 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001039357306 EED:250121   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0219357306TC",142.67,ACH_CREDIT,7645.28,,
CREDIT,01/21/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011832645 EED:250121   IND ID:ST-W4T2I2R4V2Q7              IND NAME:BOODAH INC TRN: 0211832645TC",679.10,ACH_CREDIT,7502.61,,
DEBIT,01/17/2025,"ORIG CO NAME:CAPITAL ONE            ORIG ID:9279744380 DESC DATE:250115 CO ENTRY DESCR:MOBILE PMTSEC:CCD    TRACE#:021000027520165 EED:250117   IND ID:42N9MASTCBZKIRK              IND NAME:COLLEEN GALLICCHIO TRN: 0177520165TC",-5000.00,ACH_DEBIT,6823.51,,
DEBIT,01/17/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250116 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001035405153 EED:250117   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0175405153TC",-2.79,ACH_DEBIT,11823.51,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:1943345425 DESC DATE:250117 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000024918967 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174918967TC",-73.51,ACH_DEBIT,11826.30,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666544 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666544TC",-169.15,ACH_DEBIT,11899.81,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024661256 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0174661256TC",-176.76,ACH_DEBIT,12068.96,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660695 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660695TC",-244.78,ACH_DEBIT,12245.72,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660696 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660696TC",-308.40,ACH_DEBIT,12490.50,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666547 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666547TC",-394.69,ACH_DEBIT,12798.90,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024661257 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0174661257TC",-462.76,ACH_DEBIT,13193.59,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024661258 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0174661258TC",-521.10,ACH_DEBIT,13656.35,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:1943345425 DESC DATE:250117 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000024919518 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174919518TC",-710.10,ACH_DEBIT,14177.45,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024661259 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0174661259TC",-839.00,ACH_DEBIT,14887.55,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660692 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660692TC",-915.22,ACH_DEBIT,15726.55,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660697 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660697TC",-1135.43,ACH_DEBIT,16641.77,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666546 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666546TC",-1175.03,ACH_DEBIT,17777.20,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666542 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666542TC",-1175.03,ACH_DEBIT,18952.23,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666543 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666543TC",-1275.42,ACH_DEBIT,20127.26,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666541 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666541TC",-1502.00,ACH_DEBIT,21402.68,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660694 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660694TC",-1613.42,ACH_DEBIT,22904.68,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660691 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660691TC",-1646.89,ACH_DEBIT,24518.10,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49065620        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024666545 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174666545TC",-1741.30,ACH_DEBIT,26164.99,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49889557        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024661426 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174661426TC",-1842.70,ACH_DEBIT,27906.29,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660693 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660693TC",-1976.43,ACH_DEBIT,29748.99,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49849744        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024660698 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174660698TC",-2042.47,ACH_DEBIT,31725.42,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYROLL                ORIG ID:1943345425 DESC DATE:250117 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000024918933 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174918933TC",-2094.58,ACH_DEBIT,33767.89,,
DEBIT,01/17/2025,"ORIG CO NAME:INTUIT 49892906        ORIG ID:4462800242 DESC DATE:250117 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024669167 EED:250117   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0174669167TC",-2191.10,ACH_DEBIT,35862.47,,
DEBIT,01/17/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250116 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000010235862 EED:250117   IND ID:MCDONALDS 27923              IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0170235862TC",-31.40,MISC_DEBIT,38053.57,,
DEBIT,01/17/2025,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000020342120 EED:250117   IND ID:ST-S1S1O6Z3V7D8              IND NAME:BOODAH INC TRN: 0170342120TC",-504.65,ACH_DEBIT,38084.97,,
CREDIT,01/17/2025,"ORIG CO NAME:WELLPOINT 05C          ORIG ID:0365BA293A DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000020734623 EED:250117   IND ID:3261513136                   IND NAME:BOODAH  INC                TRN*1*3261513136*1520913817\                                                      EDI PAYMENT TRN: 0170734623TC",490.05,ACH_CREDIT,38589.62,,
CREDIT,01/17/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250116 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001034574570 EED:250117   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0174574570TC",606.07,ACH_CREDIT,38099.57,,
CREDIT,01/17/2025,"ORIG CO NAME:TUFTS ASSOCIATED       ORIG ID:4800721489 DESC DATE:250114 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000020761549 EED:250117   IND ID:                             IND NAME:BOODAH INC                 TRN*1*71171687*1042674079\ TRN: 0170761549TC",3605.26,ACH_CREDIT,37493.50,,
DEBIT,01/16/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250115 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001033600009 EED:250116   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0163600009TC",-18.78,ACH_DEBIT,33888.24,,
DEBIT,01/16/2025,"ORIG CO NAME:BASTIONGPT.COM         ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:BASTIONGPTSEC:WEB    TRACE#:091000019643034 EED:250116   IND ID:ST-Q7B3H6G7C8B8              IND NAME:COLLEEN LONG TRN: 0169643034TC",-20.00,MISC_DEBIT,33907.02,,
DEBIT,01/16/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250115 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000019941009 EED:250116   IND ID:MCDONALDS 27923              IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0169941009TC",-27.13,MISC_DEBIT,33927.02,,
DEBIT,01/16/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250115 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000019015929 EED:250116   IND ID:FASTSPRING                   IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0169015929TC",-237.10,MISC_DEBIT,33954.15,,
CREDIT,01/16/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250115 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001039874567 EED:250116   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0169874567TC",25.00,ACH_CREDIT,34191.25,,
CREDIT,01/16/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000019125181 EED:250116   IND ID:ST-P2U5O2E3F2L0              IND NAME:BOODAH INC TRN: 0169125181TC",431.49,ACH_CREDIT,34166.25,,
